away,forecast,home,week,wind,year
Panthers,48f Mostly Cloudy,Seahawks,13,,2010
Steelers,28f Overcast,Ravens,13,,2010
Jets,28f Overcast,Patriots,13,,2010
Colts,41f Mostly Cloudy,Titans,14,,2010
Bengals,41f Light Rain,Steelers,14,,2010
Falcons,47f Overcast,Panthers,14,,2010
Packers,DOME,Lions,14,,2010
Browns,35f Light Rain Fog/Mist,Bills,14,,2010
Raiders,54f Rain,Jaguars,14,,2010
Buccaneers,42f Overcast,Redskins,14,,2010
Seahawks,54f Fog/Mist,49ers,14,,2010
Rams,DOME,Saints,14,,2010
Patriots,27f Blizzard,Bears,14,,2010
Dolphins,54f Mostly Cloudy,Jets,14,,2010
Chiefs,85f Fair,Chargers,14,,2010
Broncos,DOME,Cardinals,14,,2010
Eagles,45f Clear,Cowboys,14,,2010
Giants,DOME,Vikings,14,,2010
Ravens,50f Fair,Texans,14,,2010
49ers,59f Partly Cloudy,Chargers,15,,2010
Bills,65f Fair,Dolphins,15,,2010
Eagles,33f Fair,Giants,15,,2010
Redskins,48f Clear,Cowboys,15,,2010
Browns,28f Overcast,Bengals,15,,2010
Jaguars,DOME,Colts,15,,2010
Texans,35f Fair,Titans,15,,2010
Saints,23f Decreasing Clouds,Ravens,15,,2010
Chiefs,DOME,Rams,15,,2010
Cardinals,42f Partly Cloudy,Panthers,15,,2010
Lions,54f Overcast,Buccaneers,15,,2010
Falcons,45f Partly Cloudy,Seahawks,15,,2010
Broncos,55f Light Rain,Raiders,15,,2010
Jets,25f Overcast,Steelers,15,,2010
Packers,32f Overcast,Patriots,15,,2010
Bears,22f Light Snow Fog/Mist,Vikings,15,,2010
Panthers,27f Overcast,Steelers,16,,2010
Cowboys,DOME,Cardinals,16,,2010
Patriots,21f Light Snow,Bills,16,,2010
49ers,DOME,Rams,16,,2010
Ravens,24f Overcast,Browns,16,,2010
Lions,66f Fair and Breezy,Dolphins,16,,2010
Jets,30f Overcast,Bears,16,,2010
Redskins,37f Overcast,Jaguars,16,,2010
Titans,19f Overcast,Chiefs,16,,2010
Texans,48f Mostly Cloudy,Broncos,16,,2010
Colts,57f Partly Cloudy,Raiders,16,,2010
Chargers,30f Overcast,Bengals,16,,2010
Seahawks,51f Mostly Cloudy and Breezy,Buccaneers,16,,2010
Giants,26f Fair,Packers,16,,2010
Saints,DOME,Falcons,16,,2010
Vikings,37f Partly Cloudy,Eagles,16,,2010
Dolphins,46f Fog,Patriots,17,,2010
Buccaneers,DOME,Saints,17,,2010
Panthers,DOME,Falcons,17,,2010
Raiders,30f Fair,Chiefs,17,,2010
Bengals,41f Overcast,Ravens,17,,2010
Vikings,DOME,Lions,17,,2010
Steelers,25f Fair,Browns,17,,2010
Bills,42f Shallow Fog,Jets,17,,2010
Cowboys,48f Light Rain,Eagles,17,,2010
Titans,DOME,Colts,17,,2010
Jaguars,57f Partly Cloudy,Texans,17,,2010
Bears,19f Fair,Packers,17,,2010
Giants,44f Rain,Redskins,17,,2010
Chargers,45f Mostly Cloudy,Broncos,17,,2010
Cardinals,50f Overcast,49ers,17,,2010
Rams,42f Fair,Seahawks,17,,2010
Saints,63f Fair,Packers,1,,2011
Titans,90f Partly Cloudy,Jaguars,1,,2011
Bills,80f A Few Clouds,Chiefs,1,,2011
Falcons,78f Partly Cloudy,Bears,1,,2011
Lions,88f Partly Cloudy,Buccaneers,1,,2011
Steelers,70f Light Rain,Ravens,1,,2011
Colts,92f A Few Clouds,Texans,1,,2011
Bengals,72f Partly Cloudy,Browns,1,,2011
Eagles,DOME,Rams,1,,2011
Giants,82f Fair,Redskins,1,,2011
Panthers,DOME,Cardinals,1,,2011
Seahawks,71f Partly Cloudy,49ers,1,,2011
Vikings,74f Fair,Chargers,1,,2011
Cowboys,71f Fair,Jets,1,,2011
Patriots,82f Fair,Dolphins,1,,2011
Raiders,73f Mostly Cloudy,Broncos,1,,2011
Chiefs,DOME,Lions,2,,2011
Raiders,66f Partly Cloudy,Bills,2,,2011
Ravens,79f Mostly Cloudy,Titans,2,,2011
Jaguars,71f Fair,Jets,2,,2011
Browns,DOME,Colts,2,,2011
Cardinals,64f Overcast,Redskins,2,,2011
Buccaneers,DOME,Vikings,2,,2011
Packers,67f Mostly Cloudy,Panthers,2,,2011
Bears,DOME,Saints,2,,2011
Seahawks,63f Overcast,Steelers,2,,2011
Cowboys,72f Fair,49ers,2,,2011
Chargers,63f Fair,Patriots,2,,2011
Bengals,73f Partly Cloudy,Broncos,2,,2011
Texans,87f A Few Clouds,Dolphins,2,,2011
Eagles,DOME,Falcons,2,,2011
Rams,68f A Few Clouds with Haze,Giants,2,,2011
Jaguars,75f Light Rain,Panthers,3,,2011
Texans,DOME,Saints,3,,2011
Patriots,81f Partly Cloudy,Bills,3,,2011
Dolphins,77f Mostly Cloudy,Browns,3,,2011
Broncos,78f Partly Cloudy,Titans,3,,2011
Giants,79f Partly Cloudy,Eagles,3,,2011
Lions,DOME,Vikings,3,,2011
49ers,75f Partly Cloudy,Bengals,3,,2011
Jets,69f Mostly Cloudy,Raiders,3,,2011
Chiefs,71f Partly Cloudy,Chargers,3,,2011
Ravens,DOME,Rams,3,,2011
Packers,63f Mostly Cloudy,Bears,3,,2011
Cardinals,66f Overcast,Seahawks,3,,2011
Falcons,79f Overcast,Buccaneers,3,,2011
Steelers,DOME,Colts,3,,2011
Redskins,86f Clear,Cowboys,3,,2011
Bills,59f Fair,Bengals,4,,2011
Titans,55f Overcast and Breezy,Browns,4,,2011
Steelers,79f A Few Clouds,Texans,4,,2011
Lions,79f Clear,Cowboys,4,,2011
49ers,50f Light Rain Fog/Mist,Eagles,4,,2011
Panthers,60f A Few Clouds,Bears,4,,2011
Redskins,DOME,Rams,4,,2011
Saints,74f A Few Clouds,Jaguars,4,,2011
Vikings,70f Fair,Chiefs,4,,2011
Giants,DOME,Cardinals,4,,2011
Falcons,63f Partly Cloudy,Seahawks,4,,2011
Broncos,68f Fair,Packers,4,,2011
Patriots,71f Partly Cloudy,Raiders,4,,2011
Dolphins,83f Fair,Chargers,4,,2011
Jets,50f Partly Cloudy,Ravens,4,,2011
Colts,73f Fair,Buccaneers,4,,2011
Titans,78f Fair,Steelers,5,,2011
Raiders,76f Overcast,Texans,5,,2011
Chiefs,DOME,Colts,5,,2011
Bengals,79f Mostly Cloudy and Breezy,Jaguars,5,,2011
Seahawks,80f Fair,Giants,5,,2011
Cardinals,DOME,Vikings,5,,2011
Saints,75f Mostly Cloudy,Panthers,5,,2011
Eagles,75f A Few Clouds,Bills,5,,2011
Buccaneers,66f Partly Sunny,49ers,5,,2011
Jets,84f Fair,Patriots,5,,2011
Chargers,54f Mostly Cloudy,Broncos,5,,2011
Packers,DOME,Falcons,5,,2011
Bears,DOME,Lions,5,,2011
Bills,67f Partly Cloudy with Haze,Giants,6,,2011
Colts,77f Fair,Bengals,6,,2011
